listing_id,city,district,listing_name,property_type,listing_type,bedrooms,baths,guests,adr_usd,occupancy,ttm_revenue,avg_stay,rating,reviews,registered,source
1445979399794262469,Da Nang,,New Happy house Homestay's My Khe Beach with 4BR,villa,Entire villa,4,4.0,8,110.6,0.466,19181.0,3.0,4.97,39,False,sourced-airroi
1010762206932168082,Da Nang,Ngũ Hành Sơn District,Da Nang Resort Furama,apartment,Castle,4,4.0,8,325.5,0.235,18670.0,3.2,0.0,2,False,sourced-airroi
1384080129482621604,Ho Chi Minh City,,2BR apartment |Saigon| city view| centrally dis. 1,apartment,Entire rental unit,2,1.0,4,69.5,0.696,18477.0,2.6,4.98,49,False,sourced-airroi
1277243062696410173,Da Nang,Hải Châu District,Cozy 3BR Home Near Dragon Bridge_Han Market_Center,villa,Entire home,3,2.5,6,118.9,0.457,18473.0,3.4,4.93,41,False,sourced-airroi
823055295438449427,Da Nang,Ngũ Hành Sơn District,MT DA NANG apartment 3BR-41F seaview,apartment,Entire rental unit,3,2.0,6,130.4,0.493,18239.0,3.8,4.63,27,False,sourced-airroi
3582599,Ho Chi Minh City,District 3,Spacious 3BR For Families And Groups City Center,apartment,Entire serviced apartment,3,2.0,6,97.8,0.575,17965.0,4.1,4.81,74,False,sourced-airroi
1417127677699929490,Da Nang,,Caden Home | 4BR Ensuite | 7' Walk to My Khe Beach,villa,Entire townhouse,4,4.0,8,103.5,0.414,17669.0,4.4,5.0,51,False,sourced-airroi
1419330781513662712,Ho Chi Minh City,,【Sale】【4 Bedroom】River View-BIG Suite in Vinhomes,villa,Entire rental unit,4,3.0,8,189.1,0.294,17624.0,5.9,4.8,5,False,sourced-airroi
1500369668192839406,Da Nang,,4BR Pool Villa; Han River & Beach | Free Pickup,villa,Entire home,4,3.0,10,163.7,0.31,17623.0,2.7,4.67,6,False,sourced-airroi
1414977340991427855,Ho Chi Minh City,,Morning villa; Morning villa,villa,Entire home,4,5.0,8,440.4,0.115,17617.0,3.5,5.0,3,False,sourced-airroi
27145851,Ho Chi Minh City,District 1,Serene 2BR | Kitchen+Washer+Netflix by Circadian,apartment,Entire condo,2,1.0,4,69.0,0.652,17427.0,3.7,4.9,312,False,sourced-airroi
40317627,Da Lat,Phường 10,South Of The Border - Phia Nam Bien Gioi,villa,Entire townhouse,2,1.0,6,63.1,0.734,17108.0,2.7,4.78,339,False,sourced-airroi
1424987772741041116,Da Nang,,200m² Villa with Private Pool |4 Bedrooms for 6–8 Guests| GOOD PRICE,villa,Entire home,4,3.0,8,141.9,0.419,16922.0,4.8,4.43,7,False,sourced-airroi
31183268,Da Nang,Hải Châu District,4BR in house/ 5'drive Han Market-MYKHE/city center,villa,Entire rental unit,4,4.0,8,84.5,0.59,16698.0,2.5,5.0,14,False,sourced-airroi
927321362678902407,Ho Chi Minh City,District 4,Le Place's Amazing Luxury Suite @City Center,apartment,Entire rental unit,4,2.0,8,124.2,0.332,16686.0,4.0,4.85,27,False,sourced-airroi
890910308022123766,Da Nang,Ngũ Hành Sơn District,Amazing view My Khe beach apt next to walking st,apartment,Entire rental unit,2,1.0,4,52.7,0.855,16643.0,5.6,4.92,102,False,sourced-airroi
1242451574967427904,Da Nang,,Viethouse 3 bedrooms - Jacuzzi - near My Khe beach,villa,Entire rental unit,3,3.0,6,132.9,0.337,16608.0,5.3,5.0,17,False,sourced-airroi
